"scn","trough_year","variable","met","trough_resistance","description","unit","severity"
"harvest_65",1,"NEP",1983,-0.914679056975332,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",1,"NEP",1983,-2.39796316383592,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",1985,-0.200925752494559,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",1985,-0.377226843462975,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",1985,-0.659997862613704,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",1987,-0.220170196973202,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",1987,-0.322782167392004,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",1987,-0.614190342697595,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",1989,-0.232688996340798,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",1989,-0.431619929830745,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",1989,-0.749329771046597,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",1991,-0.193944103957964,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",1991,-0.365869969074795,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",1991,-0.67258052015377,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",1993,-0.239975299296471,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",1993,-0.444500175074434,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",1993,-0.777070759785053,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",1995,-0.225681624538679,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",1995,-0.41577824057786,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",1995,-0.743076923957189,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",1,"NEP",1997,-0.351764088419839,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",2,"NEP",1997,-0.750440539281412,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",2,"NEP",1997,-1.88735074384827,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",2000,-0.215375487877878,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",2000,-0.407079955033178,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",2000,-0.734551379329959,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",2002,-0.391458892017494,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",2002,-0.712976560993583,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",2002,-1.29966966720804,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",2004,-0.234904176857649,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",2004,-0.447477512985147,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",2004,-0.82745463576063,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",2006,-0.087774907177201,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",2006,-0.205180297616279,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",2006,-0.450551199768188,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",2008,-0.1675947831661,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",2008,-0.369113563073508,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",2008,-0.717594686915361,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",2010,-0.0828721291129732,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",2010,-0.142733680690931,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",2010,-0.282401849184028,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",2012,-0.117022435022086,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",2012,-0.253596845207231,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",2012,-0.499804136141977,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",2014,-0.207136559297155,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",2014,-0.397409777094771,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",2014,-0.72021899322415,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",2016,-0.166673984463409,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",2016,-0.35372945418121,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",2016,-0.686480100346262,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",2019,-0.163690352164443,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",2019,-0.327484815754249,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",2019,-0.613437186040113,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"GPP",1979,-0.361947104282075,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",1979,-0.675901141988852,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",1979,-1.3472894047305,"Annual  Gross primary productivity","unitless","85 %"
